1	A	4,0	10,0	8,0
2	A	6,0	8,0	0,0
3	A	7,0	10,0	10,0
4	A	5,0	9,0	6,0
5	A	4,0	5,0	5,0
6	A	9,0	5,0	6,0
7	A	2,0	0,0	6,0
8	A	2,0	8,0	10,0
9	A	7,0	5,0	0,0
10	A	5,0	6,0	5,0
11	A	3,0	10,0	4,0
12	A	9,0	8,0	2,0
13	A	6,0	0,0	8,0
14	A	6,0	7,0	0,0
15	A	3,0	7,0	1,0
16	A	2,0	4,0	6,0
17	A	10,0	1,0	1,0
18	A	8,0	1,0	3,0
19	A	1,0	8,0	8,0
20	A	6,0	3,0	3,0
21	B	7,0	5,0	1,0
22	B	10,0	5,0	8,0
23	B	8,0	9,0	2,0
24	B	1,0	2,0	7,0
25	B	8,0	4,0	6,0
26	B	0,0	8,0	4,0
27	B	4,0	10,0	9,0
28	B	1,0	1,0	10,0
29	B	10,0	0,0	0,0
30	B	4,0	1,0	10,0
31	B	4,0	10,0	8,0
32	B	1,0	10,0	3,0
33	B	2,0	1,0	2,0
34	B	7,0	1,0	1,0
35	B	7,0	9,0	3,0
36	B	8,0	4,0	9,0
37	B	2,0	9,0	2,0
38	B	2,0	8,0	6,0
39	B	9,0	2,0	5,0
40	B	10,0	6,0	4,0
41	C	5,0	9,0	9,0
42	C	7,0	3,0	3,0
43	C	10,0	1,0	4,0
44	C	6,0	4,0	6,0
45	C	3,0	0,0	9,0
46	C	4,0	6,0	5,0
47	C	7,0	4,0	0,0
48	C	3,0	2,0	5,0
49	C	1,0	3,0	1,0
50	C	1,0	9,0	6,0
51	C	0,0	8,0	4,0
52	C	3,0	6,0	2,0
53	C	7,0	6,0	4,0
54	C	5,0	10,0	1,0
55	C	6,0	4,0	4,0
56	C	5,0	2,0	9,0
57	C	5,0	6,0	3,0
58	C	9,0	8,0	6,0
59	C	5,0	5,0	10,0
60	C	9,0	3,0	6,0
